Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
1172.73	-0.0471479
1173.64	-0.0470824
1174.55	-0.0470171
1175.45	-0.0469519
1176.36	-0.0468868
1177.27	-0.0468218
1178.18	-0.0467569
1179.09	-0.0466922
1180	-0.0466275
1180.91	-0.046563
1181.82	-0.0464986
1182.73	-0.0464343
1183.64	-0.0463701
1184.55	-0.0463061
1185.45	-0.0462421
1186.36	-0.0461783
1187.27	-0.0461145
1188.18	-0.0460509
1189.09	-0.0459874
1190	-0.045924
1190.91	-0.0458607
1191.82	-0.0457975
1192.73	-0.0457345
1193.64	-0.0456715
1194.55	-0.0456087
1195.45	-0.045546
1196.36	-0.0454833
1197.27	-0.0454208
1198.18	-0.0453584
1199.09	-0.0452961
1200	-0.045234
1200.91	-0.0451719
1201.82	-0.0451099
1202.73	-0.0450481
1203.64	-0.0449863
1204.55	-0.0449247
1205.45	-0.0448631
